Age,Experience,Income,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal_Loan
25,1,49,4,1.6,1,0,1,0,0,0,9
45,19,34,3,1.5,1,0,1,0,0,0,9
39,15,11,1,1.0,1,0,0,0,0,0,9
35,9,100,1,2.7,2,0,0,0,0,0,8
35,8,45,4,1.0,2,0,0,0,0,1,12
37,13,29,4,0.4,2,155,0,0,1,0,15
53,27,72,2,1.5,2,0,0,0,1,0,0
50,24,22,1,0.3,3,0,0,0,0,1,5
35,10,81,3,0.6,2,104,0,0,1,0,15
34,9,180,1,8.9,3,0,0,0,0,0,17
65,39,105,4,2.4,3,0,0,0,0,0,6
29,5,45,3,0.1,2,0,0,0,1,0,15
48,23,114,2,3.8,3,0,1,0,0,0,6
59,32,40,4,2.5,2,0,0,0,1,0,1
67,41,112,1,2.0,1,0,1,0,0,0,3
60,30,22,1,1.5,3,0,0,0,1,1,5
38,14,130,4,4.7,3,134,0,0,0,0,17
42,18,81,4,2.4,1,0,0,0,0,0,9
46,21,193,2,8.1,3,0,0,0,0,0,16
55,28,21,1,0.5,2,0,1,0,0,1,5
56,31,25,4,0.9,2,111,0,0,1,0,1
57,27,63,3,2.0,3,0,0,0,1,0,1
29,5,62,1,1.2,1,260,0,0,1,0,14
44,18,43,2,0.7,1,163,1,0,0,0,9
36,11,152,2,3.9,1,159,0,0,0,1,11
43,19,29,3,0.5,1,97,0,0,1,0,15
40,16,83,4,0.2,3,0,0,0,0,0,8
46,20,158,1,2.4,1,0,0,0,1,1,10
56,30,48,1,2.2,3,0,0,0,1,1,5
38,13,119,1,3.3,2,0,0,1,1,1,17
59,35,35,1,1.2,3,122,0,0,1,0,0
40,16,29,1,2.0,2,0,0,0,1,0,14
53,28,41,2,0.6,3,193,0,0,0,0,7
30,6,18,3,0.9,3,0,0,0,0,0,8
31,5,50,4,1.8,3,0,0,0,1,0,15
48,24,81,3,0.7,1,0,0,0,0,0,6
59,35,121,1,2.9,1,0,0,0,0,1,3
51,25,71,1,1.4,3,198,0,0,0,0,7
42,18,141,3,5.0,3,0,1,1,1,0,17
38,13,80,4,0.7,3,285,0,0,1,0,15
57,32,84,3,1.6,3,0,1,0,0,0,6
34,9,60,3,2.3,1,0,0,0,0,0,9
32,7,132,4,1.1,2,412,0,0,1,0,17
39,15,45,1,0.7,1,0,0,0,1,0,14
46,20,104,1,5.7,1,0,0,0,1,1,10
57,31,52,4,2.5,1,0,0,0,0,1,5
39,14,43,3,0.7,2,153,0,0,1,0,15
37,12,194,4,0.2,3,211,1,1,1,1,17
56,26,81,2,4.5,3,0,0,0,0,1,5
40,16,49,1,1.8,1,0,0,0,0,1,12
32,8,8,4,0.7,2,0,1,0,1,0,15
61,37,131,1,2.9,1,0,0,0,1,0,3
30,6,72,1,0.1,1,207,0,0,0,0,9
50,26,190,3,2.1,3,240,0,0,1,0,16
29,5,44,1,0.2,3,0,0,0,1,0,14
41,17,139,2,8.0,1,0,0,0,1,0,10
55,30,29,3,0.1,2,0,1,1,1,0,4
56,31,131,2,1.2,3,0,0,0,0,0,16
28,2,93,2,0.2,1,0,0,0,0,0,9
31,5,188,2,4.5,1,455,0,0,0,0,11
49,24,39,3,1.7,2,0,1,0,1,0,1
47,21,125,1,5.7,1,112,1,0,0,0,11
42,18,22,1,1.0,1,0,0,0,0,0,9
42,17,32,4,0.0,2,0,0,0,1,0,15
47,23,105,2,3.3,1,0,0,0,0,0,10
59,35,131,1,3.8,1,0,0,0,1,1,3
62,36,105,2,2.8,1,336,0,0,0,0,2
53,23,45,4,2.0,3,132,1,0,0,0,6
47,21,60,3,2.1,1,0,0,0,1,1,4
53,29,20,4,0.2,1,0,0,0,1,0,1
42,18,115,1,3.5,1,0,0,0,0,1,10
53,29,69,4,1.0,2,0,0,0,1,0,1
44,20,130,1,5.0,1,0,0,0,0,1,10
41,16,85,1,4.0,3,0,0,0,1,1,12
28,3,135,2,3.3,1,0,0,0,0,1,10
31,7,135,4,3.8,2,0,0,1,1,1,17
58,32,12,3,0.3,3,0,0,0,0,0,6
46,20,29,3,0.5,2,0,0,0,0,0,6
54,30,133,2,2.6,3,0,0,0,0,0,16
50,26,19,2,0.4,1,118,0,0,1,0,0
60,36,41,4,1.3,1,174,0,0,1,1,4
47,22,40,3,2.7,2,0,0,0,1,0,1
41,16,82,1,4.0,3,0,0,0,1,0,10
33,9,50,1,2.4,2,0,0,0,0,0,8
46,22,18,1,0.9,3,0,0,0,1,0,0
27,2,109,4,1.8,3,0,0,0,0,0,8
40,16,42,4,2.2,2,126,0,0,0,0,8
48,22,78,3,1.1,1,0,0,0,1,0,3
65,41,51,2,1.1,1,0,0,0,1,0,3
25,-1,113,4,2.3,3,0,0,0,0,1,12
55,30,118,4,5.6,2,0,0,0,1,0,16
35,10,29,4,1.1,3,0,0,0,1,0,15
43,19,34,3,0.6,2,0,0,0,0,0,8
60,34,64,2,1.7,3,236,1,0,1,0,0
65,39,121,1,2.0,1,0,0,0,0,0,3
38,12,48,4,0.2,3,0,0,0,1,0,15
41,15,80,1,5.2,1,0,0,0,0,0,10
54,28,161,1,2.9,1,0,0,0,1,0,3
49,23,94,1,0.3,1,0,0,0,1,0,3
66,41,15,3,0.1,3,0,0,0,1,0,1
48,23,74,1,1.2,1,0,0,0,1,0,3
61,36,30,3,1.3,2,0,0,0,0,0,6
53,23,44,3,1.0,3,198,0,0,1,1,4
43,18,22,2,0.3,2,0,0,0,1,0,0
56,32,38,4,1.3,1,166,0,0,1,1,4
24,0,35,3,0.1,2,0,1,0,1,0,15
43,17,69,4,2.9,1,0,0,0,1,1,13
42,18,43,1,0.7,1,136,0,0,0,0,9
33,7,32,1,0.6,3,166,0,0,1,0,14
43,17,49,1,2.8,1,0,0,0,1,0,14
41,14,9,3,1.0,2,0,0,0,0,0,8
62,38,45,4,1.3,2,0,0,0,1,0,1
40,15,82,3,1.0,1,309,0,0,0,0,9
58,34,92,2,2.8,1,103,0,0,0,0,2
39,14,39,3,0.5,3,0,0,0,1,0,15
65,40,81,3,1.8,2,0,0,0,1,0,1
54,29,35,1,1.5,2,0,0,0,1,0,0
58,33,61,2,2.3,3,193,0,0,1,0,0
41,16,73,3,3.0,1,0,0,0,1,0,15
32,7,112,1,4.6,1,366,0,0,0,0,11
54,29,12,2,0.2,3,0,0,0,1,0,0
52,26,38,3,0.9,3,0,0,0,1,0,1
58,32,73,2,0.7,2,0,0,0,1,1,5
37,13,84,1,3.6,2,0,1,0,0,0,9
39,15,78,4,2.4,1,118,0,0,1,0,15
60,35,80,3,0.5,1,0,0,0,1,0,3
31,5,115,2,1.3,1,101,0,0,1,1,13
34,8,82,1,2.7,2,251,0,0,1,0,11
38,14,74,2,0.0,1,0,1,0,1,0,14
41,16,70,3,0.5,3,0,0,0,0,1,12
28,4,81,3,1.5,1,276,0,0,1,0,15
58,34,149,4,7.2,2,0,0,1,1,1,16
31,1,51,2,1.75,3,0,0,0,0,0,8
30,4,39,3,1.1,2,0,0,0,1,0,15
53,29,98,3,1.8,2,0,0,0,0,0,6
58,33,45,4,2.1,1,0,0,0,1,1,4
59,32,49,4,2.5,2,0,0,0,1,0,1
49,25,128,2,0.4,1,0,0,0,0,0,3
59,34,42,3,1.5,1,0,1,1,0,1,4
59,35,18,1,1.2,3,0,0,0,1,0,0
51,25,31,2,0.4,3,161,0,0,1,1,5
35,11,58,3,2.0,1,149,0,0,1,1,13
33,9,48,1,2.1,3,0,0,0,0,1,12
25,1,54,4,1.6,1,0,0,0,1,1,13
49,23,70,2,1.5,2,0,0,0,0,0,7
59,35,124,1,7.4,1,0,0,0,0,1,3
46,19,84,1,2.67,2,0,0,0,1,1,12
50,25,83,4,3.6,3,188,0,0,1,0,1
52,28,163,2,0.4,1,116,0,0,1,0,2
48,22,42,3,2.2,2,0,0,0,0,0,6
46,22,118,2,7.5,1,0,0,1,1,1,10
26,0,132,3,6.5,3,0,0,0,0,1,17
57,32,24,1,1.3,1,0,0,0,1,1,5
60,36,22,2,1.0,1,0,1,1,1,1,4
54,29,58,4,1.3,3,0,0,0,0,0,6
24,0,60,4,1.6,1,0,0,0,1,0,15
26,0,15,4,0.4,1,0,0,0,0,1,12
41,17,83,4,2.67,1,0,0,0,1,1,13
32,6,79,2,1.5,3,0,0,0,1,1,12
61,35,41,4,1.7,2,0,1,0,1,0,1
29,0,134,4,6.5,3,0,0,0,0,0,17
61,35,80,2,2.8,1,0,0,0,1,0,3
38,12,52,1,2.0,1,0,0,0,0,0,9
28,4,70,4,2.6,1,0,0,0,1,0,15
53,27,92,2,1.1,1,0,1,0,0,0,6
27,1,43,1,1.5,1,0,0,0,1,0,14
25,1,21,3,1.0,2,0,0,0,0,0,8
33,9,23,3,0.9,3,0,0,0,1,1,12
50,26,13,4,1.0,1,0,0,0,1,0,1
27,1,112,4,2.1,3,0,0,0,0,1,12
27,1,138,2,2.0,1,0,0,0,1,0,11
52,28,11,3,0.4,1,0,1,0,0,0,6
38,13,171,2,7.8,1,0,0,0,1,0,10
58,34,42,4,1.5,1,0,0,0,1,1,4
42,17,168,2,7.9,2,0,0,0,1,0,17
45,20,85,4,1.1,2,0,1,0,1,0,15
52,25,44,3,1.0,2,135,0,0,1,0,1
29,3,65,4,1.8,2,244,0,0,0,0,8
53,29,24,4,0.2,1,0,0,0,1,1,4
62,37,11,1,0.1,1,0,0,0,1,0,0
51,27,38,2,1.0,3,164,0,0,1,0,0
36,12,10,4,0.7,2,81,0,0,0,0,8
24,0,135,1,1.5,1,0,0,0,1,0,11
29,3,148,3,4.1,1,0,0,0,1,0,17
52,26,63,2,1.5,2,0,1,0,1,0,0
39,14,115,1,1.0,3,0,0,0,1,0,14
48,23,45,1,0.3,1,0,0,0,1,1,5
46,21,159,3,1.9,3,315,0,0,1,0,16
64,40,169,2,2.1,1,122,0,0,1,0,2
55,29,112,2,1.4,1,0,0,0,1,0,3
60,36,93,1,4.3,1,0,0,0,1,0,3
51,25,29,1,0.3,3,140,0,0,0,0,7
50,23,85,1,2.67,2,0,0,0,1,0,3
48,24,21,4,0.6,1,0,0,0,1,1,4
53,29,144,2,6.8,1,0,0,0,1,0,3
34,10,13,4,1.0,1,95,1,0,1,0,15
48,24,165,1,5.0,1,0,0,0,0,1,10
55,31,9,4,0.7,1,89,0,0,1,0,1
27,3,59,4,0.0,1,90,1,0,1,0,15
36,11,158,1,5.1,3,0,0,1,1,1,17
32,6,29,1,1.9,3,0,0,0,1,1,12
35,9,20,2,1.4,3,0,0,0,1,1,12
30,3,68,4,2.0,2,0,0,0,1,0,15
58,34,65,4,2.2,1,0,0,0,1,0,1
56,31,61,2,1.9,2,105,0,0,0,0,7
38,12,91,4,1.4,2,100,0,0,0,1,12
49,25,31,1,1.0,1,0,1,0,1,0,2
34,10,71,4,0.1,2,0,0,0,0,0,8
40,16,73,4,2.67,1,0,0,0,1,1,13
64,39,172,4,3.1,1,282,0,1,1,1,16
51,26,20,2,0.0,1,0,0,0,0,0,7
44,18,55,1,0.2,1,0,0,0,0,0,9
46,22,69,2,1.7,1,209,0,0,0,0,9
57,33,155,1,7.4,1,0,0,0,1,0,3
54,28,94,1,1.9,2,0,0,0,0,0,7
38,14,92,2,0.0,1,249,0,0,1,1,13
27,3,125,2,0.6,1,0,0,0,0,0,9
39,14,74,3,3.0,1,0,0,0,0,0,9
44,20,72,3,0.3,3,0,0,0,1,0,1
56,30,61,1,2.2,3,0,0,0,1,1,5
32,6,25,2,0.3,1,0,0,0,0,1,12
45,19,83,2,1.7,2,0,0,0,1,0,14
26,2,104,3,2.5,1,0,0,0,0,0,9
55,25,41,3,1.0,3,0,0,0,1,0,1
52,27,58,4,1.8,3,91,0,0,0,0,6
39,13,93,1,1.5,3,0,0,0,0,1,12
24,-1,39,2,1.7,2,0,0,0,0,0,8
47,23,148,2,7.5,1,0,0,1,1,1,10
47,22,53,4,1.9,3,98,1,1,0,1,4
48,24,71,2,1.7,1,145,0,0,0,1,5
47,22,92,1,2.8,2,0,0,0,1,0,3
35,10,61,4,2.1,3,0,0,0,1,0,15
46,19,38,3,2.5,2,135,0,0,0,0,8
62,37,58,4,1.7,1,0,0,0,1,0,1
26,1,80,1,0.8,2,150,0,0,0,0,8
38,8,71,4,1.8,3,0,0,0,1,0,15
43,18,89,3,0.5,3,0,0,0,1,1,12
62,38,83,1,1.8,3,0,0,0,1,0,0
57,32,28,3,0.2,1,0,0,0,1,1,4
28,3,52,4,1.7,2,0,0,0,0,0,8
51,26,70,1,1.2,1,169,0,0,0,0,2
48,22,71,1,1.4,3,0,0,0,0,1,5
41,16,75,1,3.7,3,280,0,0,0,0,8
65,39,170,3,7.9,3,99,0,1,1,0,16
41,17,78,4,0.8,1,78,0,0,1,0,15
35,11,25,2,1.0,2,0,0,0,0,0,8
38,14,60,2,0.6,3,0,0,0,1,1,12
53,29,120,4,2.7,2,111,1,1,1,0,16
55,29,99,2,1.4,1,264,0,0,1,1,2
26,1,55,3,2.6,3,113,0,0,0,1,12
30,6,29,3,1.0,2,117,0,0,0,0,8
54,28,170,2,6.2,2,325,0,0,1,0,16
65,40,53,3,2.2,1,0,0,0,0,1,5
47,21,138,1,0.0,1,0,0,0,0,0,9
65,41,134,3,3.9,3,121,0,0,1,0,16
66,40,42,2,0.7,3,138,0,0,0,1,5
26,0,99,4,2.3,3,0,0,0,0,1,12
66,41,18,3,0.5,1,0,0,0,0,1,5
35,9,24,4,0.3,1,0,0,0,1,0,15
56,30,55,1,1.4,1,77,0,0,1,0,2
51,27,58,1,0.0,1,0,0,0,0,1,5
42,16,111,2,1.2,3,251,0,0,1,0,17
49,23,33,1,0.3,3,0,0,1,1,1,4
27,1,74,4,1.8,2,112,0,0,1,1,12
45,19,38,2,0.7,1,0,0,0,0,0,7
49,23,23,4,0.6,3,98,1,0,0,0,6
63,38,61,2,1.5,1,0,0,0,1,0,3
47,22,81,1,2.9,1,138,0,0,0,0,11
64,39,129,1,2.5,1,0,0,0,1,0,3
43,13,33,1,0.75,3,0,0,0,0,0,8
60,36,63,4,2.2,1,0,0,0,1,0,1
40,14,70,4,1.4,2,0,0,0,1,0,15
29,3,45,4,0.2,1,158,0,0,1,1,13
41,16,65,3,0.5,3,0,0,0,1,0,15
30,5,74,4,2.2,1,0,1,0,0,1,13
49,24,50,4,1.8,3,0,1,0,0,0,6
30,5,22,4,0.5,3,109,0,0,1,0,15
29,2,30,4,1.0,3,0,0,0,0,0,8
50,26,21,4,1.0,1,0,0,0,1,0,1
39,14,155,2,3.9,1,0,0,0,1,0,10
33,8,64,4,2.1,3,164,0,0,1,0,15
57,31,65,4,2.6,3,0,0,0,0,1,5
34,9,71,4,0.7,3,0,0,0,1,0,15
61,36,40,3,0.5,2,0,1,0,1,0,1
44,19,69,3,0.5,3,0,0,0,1,0,1
40,13,69,3,2.33,2,0,0,0,0,0,8
51,25,45,3,0.6,2,131,0,0,1,0,1
37,12,62,3,0.7,2,0,0,0,0,1,12
44,19,172,2,4.3,3,391,1,1,1,0,16
42,15,24,3,1.0,2,0,0,0,1,1,12
51,25,80,1,4.9,1,0,0,0,0,0,3
43,16,8,3,0.67,2,88,0,0,1,0,15
30,5,38,4,0.8,1,129,0,0,1,1,13
45,19,93,4,2.6,3,0,0,0,0,0,8
35,9,55,1,2.0,1,0,0,0,1,0,14
60,34,64,2,1.7,3,0,0,0,0,1,5
34,9,122,1,0.0,1,0,0,0,1,0,14
55,25,70,3,1.4,3,0,0,0,1,0,1
43,19,81,2,3.2,1,0,0,0,0,0,9
41,15,159,1,5.5,3,0,0,1,1,0,17
34,9,70,4,1.3,1,0,1,0,0,0,9
65,39,150,2,6.9,1,196,0,0,0,0,2
45,21,152,2,7.5,1,0,0,0,1,0,10
49,25,195,4,3.0,1,617,0,0,0,0,16
48,23,22,1,0.1,1,0,0,0,0,0,7
60,35,22,1,1.3,1,123,0,0,1,0,2
55,29,79,3,0.8,1,0,0,0,1,1,4
42,18,33,1,1.4,3,0,0,0,1,0,0
32,8,128,2,4.33,1,0,0,1,1,1,13
62,38,91,1,3.8,1,0,1,0,1,0,3
57,32,39,4,0.9,1,0,0,0,1,1,4
52,26,121,1,7.3,1,167,0,0,1,0,11
36,6,21,1,0.67,3,0,1,0,1,0,14
34,9,41,3,2.3,1,0,0,0,0,1,12
63,37,45,2,0.7,3,0,0,0,1,0,0
24,-2,51,3,0.3,3,0,0,0,1,0,15
57,31,165,1,1.6,2,0,0,0,1,0,16
40,16,119,2,4.2,2,0,0,0,1,0,17
27,2,110,4,1.8,3,190,0,0,1,0,15
65,39,20,3,0.7,2,0,0,0,0,1,5
60,34,64,1,0.8,2,248,0,0,0,0,7
44,20,101,3,4.4,2,82,0,0,0,0,17
63,39,101,1,3.9,1,0,1,1,1,0,16
59,34,99,1,4.4,1,0,0,0,0,0,16
56,30,158,4,6.1,1,0,0,0,0,0,16
54,28,89,1,1.9,2,0,0,0,1,1,5
52,27,80,1,1.3,3,0,0,1,1,1,4
58,32,114,2,2.0,1,402,0,0,1,0,2
60,35,49,3,0.5,2,0,0,0,1,1,4
28,4,191,1,6.33,1,0,0,0,1,0,10
54,30,78,4,1.0,2,0,0,0,1,0,1
32,6,28,3,1.0,1,0,0,0,0,0,9
59,33,42,1,0.8,2,0,0,0,1,0,0
63,38,140,1,2.5,1,0,0,0,0,0,3
48,23,45,1,1.3,2,0,0,0,1,0,0
56,32,122,2,0.3,1,360,0,1,1,1,4
36,12,65,3,2.6,2,0,0,0,1,0,15
57,27,68,1,1.4,3,0,0,0,1,0,0
29,3,153,2,2.0,1,392,0,0,0,0,11
39,13,89,4,1.4,2,0,0,0,0,0,8
59,34,91,1,2.6,1,0,0,0,1,1,3
31,6,55,4,2.0,2,185,0,0,1,0,15
43,19,118,2,3.3,1,0,0,0,0,1,10
35,5,22,1,0.67,3,103,0,0,0,0,8
54,24,63,3,1.4,3,138,0,0,1,1,5
51,27,12,4,0.5,2,78,1,0,1,0,1
44,19,50,3,2.7,2,0,0,0,1,0,15
25,0,43,2,1.6,3,0,1,1,1,1,13
40,15,173,4,6.6,1,0,0,1,1,1,17
26,2,60,2,3.0,1,132,0,0,0,0,17
39,14,113,1,1.0,3,0,1,0,1,0,14
28,4,155,4,5.3,2,0,0,0,1,0,17
52,28,91,4,1.0,2,0,0,0,0,1,5
53,29,55,4,1.1,2,0,0,0,1,0,1
44,20,173,2,1.4,1,419,0,0,1,0,11
43,19,71,3,0.3,3,0,0,0,0,1,5
56,30,24,2,0.4,3,88,0,0,0,0,7
38,14,42,1,2.0,2,81,0,0,1,0,14
30,6,141,2,4.33,1,0,0,0,1,0,10
32,6,32,1,1.9,3,0,0,0,1,0,14
35,10,55,4,1.3,1,0,0,0,0,0,9
43,19,153,2,7.5,1,0,0,0,1,0,10
58,32,113,2,1.4,1,270,0,0,0,1,2
25,0,30,2,1.7,2,0,0,0,0,0,8
54,24,29,3,1.0,3,148,0,0,0,1,5
57,32,174,1,6.8,2,466,0,0,1,0,16
50,24,35,1,0.3,3,0,0,0,1,0,0
32,8,98,2,2.0,2,175,0,0,1,0,14
63,37,30,2,1.0,3,159,0,0,1,0,0
31,6,58,2,2.5,1,0,0,0,0,1,12
36,12,25,4,1.0,1,147,0,0,0,0,9
58,34,19,4,0.7,1,0,0,0,0,0,6
56,30,44,4,0.7,2,174,0,0,1,0,1
49,25,20,4,1.0,1,111,0,0,1,1,4
30,5,98,2,3.1,1,220,0,0,1,0,11
33,7,90,3,1.6,1,0,0,0,1,0,15
45,21,61,3,0.7,1,0,0,0,0,0,6
30,5,40,4,2.0,2,0,0,0,1,0,15
47,23,38,2,2.1,3,0,0,0,0,0,7
25,0,28,2,1.7,2,0,0,0,0,0,8
63,33,34,1,1.5,3,0,0,0,1,1,5
55,29,73,2,2.3,3,0,0,0,1,1,5
65,41,133,4,2.0,1,0,0,0,0,1,16
44,18,53,1,0.2,1,0,0,0,1,0,14
51,25,21,4,0.6,3,0,0,0,1,1,5
35,9,40,3,0.9,1,0,0,0,1,0,15
30,5,41,4,1.7,2,0,0,0,1,0,15
31,5,82,4,1.8,2,0,0,0,1,0,15
54,30,100,4,3.4,3,0,0,0,0,0,16
45,20,155,1,7.0,1,0,0,0,1,1,10
45,19,45,1,0.2,1,0,0,0,1,0,0
58,32,9,3,0.3,3,0,0,0,0,1,5
54,29,48,4,1.8,3,0,0,0,1,0,1
53,28,18,4,0.1,3,109,1,1,1,1,4
33,9,80,4,3.4,1,0,0,0,1,1,13
60,35,64,2,2.8,1,0,0,0,0,0,6
50,24,29,4,0.1,1,0,0,0,0,0,6
26,2,48,3,0.7,2,0,0,0,1,0,15
54,30,23,2,0.4,1,0,0,0,0,0,7
28,3,84,4,0.2,1,0,0,0,1,1,13
36,10,179,3,6.6,1,0,0,0,1,0,17
29,2,30,4,1.5,2,112,0,0,0,1,12
54,28,93,1,4.9,1,133,0,1,1,1,4
55,30,39,2,1.9,2,0,0,0,0,0,7
61,36,60,3,0.5,2,182,0,0,0,0,6
36,11,133,1,3.8,1,290,1,1,1,1,11
45,19,125,1,2.4,1,0,0,0,0,0,10
64,40,58,1,1.8,3,0,0,0,1,0,0
60,36,89,2,2.8,1,0,0,0,1,0,3
49,22,82,1,2.67,2,125,0,0,1,0,2
47,23,110,2,3.3,1,0,0,0,1,1,10
60,36,54,4,2.3,3,0,1,0,0,0,6
45,20,89,4,1.9,3,0,0,0,1,0,15
32,7,42,3,2.3,1,0,0,0,1,0,15
52,28,41,3,1.9,2,0,0,0,0,1,5
35,8,38,4,1.0,2,124,0,0,1,0,15
40,15,85,2,0.4,1,0,0,0,1,0,14
53,29,83,4,1.0,2,0,0,0,1,0,1
27,0,33,4,1.0,3,0,0,0,0,0,8
58,33,50,4,2.1,1,0,0,0,0,1,5
47,22,58,4,3.6,3,0,0,0,1,1,4
28,3,115,4,3.1,2,0,0,0,0,0,17
46,20,145,2,6.3,1,0,1,1,1,0,10
43,19,161,2,7.5,1,0,0,0,0,0,10
56,30,38,1,0.2,1,0,0,0,0,0,7
28,3,28,4,0.8,1,0,0,0,1,0,15
42,18,75,3,2.33,1,0,0,0,0,1,12
32,7,35,3,1.3,1,116,0,0,0,1,12
